"plasmid","strain","fold_change","type"
"5-HT1A","GPA1",0.951867397309973,"4.8"
"5-HT1A","Gα12",1.01916660665887,"4.8"
"5-HT1A","Gα13",1.01109855440402,"4.8"
"5-HT1A","Gα14",0.983504258444601,"4.8"
"5-HT1A","Gα15/16",1.0131569723762,"4.8"
"5-HT1A","Gαi1/2",0.986469976253534,"4.8"
"5-HT1A","Gαi3",0.9842279519507,"4.8"
"5-HT1A","Gαo",0.994807269973136,"4.8"
"5-HT1A","Gαq/11",1.02820283987758,"4.8"
"5-HT1A","Gαs/olf",0.958790224264361,"4.8"
"5-HT1A","Gαz",0.983273826287614,"4.8"
"5-HT1A","tGPA1",1.01244718613633,"4.8"
"5-HT1B","GPA1",0.984374042192194,"4.8"
"5-HT1B","Gα12",0.976615733596906,"4.8"
"5-HT1B","Gα13",0.988809873420664,"4.8"
"5-HT1B","Gα14",0.982721682022039,"4.8"
"5-HT1B","Gα15/16",0.963774237647687,"4.8"
"5-HT1B","Gαi1/2",0.994482002457756,"4.8"
"5-HT1B","Gαi3",1.00988028553117,"4.8"
"5-HT1B","Gαo",0.968875023613522,"4.8"
"5-HT1B","Gαq/11",0.978358521391439,"4.8"
"5-HT1B","Gαs/olf",0.990901850842241,"4.8"
"5-HT1B","Gαz",1.00021180845202,"4.8"
"5-HT1B","tGPA1",1.01563463265047,"4.8"
"5-HT1D","GPA1",1.07768152724374,"4.8"
"5-HT1D","Gα12",1.12568223628344,"4.8"
"5-HT1D","Gα13",1.07160862804072,"4.8"
"5-HT1D","Gα14",0.990124236554293,"4.8"
"5-HT1D","Gα15/16",0.979037868108347,"4.8"
"5-HT1D","Gαi1/2",0.996472165375064,"4.8"
"5-HT1D","Gαi3",0.960914827237669,"4.8"
"5-HT1D","Gαo",0.984703575634643,"4.8"
"5-HT1D","Gαq/11",0.979551235226444,"4.8"
"5-HT1D","Gαs/olf",1.00525298588755,"4.8"
"5-HT1D","Gαz",1.01072591603496,"4.8"
"5-HT1D","tGPA1",0.984633455233421,"4.8"
"5-HT1E","GPA1",0.962940488801711,"4.8"
"5-HT1E","Gα12",0.984352977756939,"4.8"
"5-HT1E","Gα13",0.986863338496679,"4.8"
"5-HT1E","Gα14",0.958767399951576,"4.8"
"5-HT1E","Gα15/16",0.979122744551746,"4.8"
"5-HT1E","Gαi1/2",0.988596346121111,"4.8"
"5-HT1E","Gαi3",1.00881014477208,"4.8"
"5-HT1E","Gαo",0.991198083524415,"4.8"
"5-HT1E","Gαq/11",0.989480099462794,"4.8"
"5-HT1E","Gαs/olf",0.968358463589297,"4.8"
"5-HT1E","Gαz",1.06961336314381,"4.8"
"5-HT1E","tGPA1",1.01080286098434,"4.8"
"5-HT1F","GPA1",0.986970087697539,"4.8"
"5-HT1F","Gα12",0.987107357381848,"4.8"
"5-HT1F","Gα13",0.981898953082839,"4.8"
"5-HT1F","Gα14",1.00274116151602,"4.8"
"5-HT1F","Gα15/16",0.976237636697498,"4.8"
"5-HT1F","Gαi1/2",1.01651337022257,"4.8"
"5-HT1F","Gαi3",1.01665505452761,"4.8"
"5-HT1F","Gαo",0.988238124155821,"4.8"
