file_name,well,well2,mode,plate,type,control_type,row
SampleID%.0001_singlets.fcs,x,x,x,x,x,x,x
SampleID%.0002_singlets.fcs,A01,A01_1,medium,sample1,sample,/,A
SampleID%.0003_singlets.fcs,A02,A02_1,medium,sample1,sample,/,A
SampleID%.0004_singlets.fcs,A03,A03_1,medium,sample1,sample,/,A
SampleID%.0005_singlets.fcs,A04,A04_1,medium,sample1,sample,/,A
SampleID%.0006_singlets.fcs,A05,A05_1,medium,sample1,sample,/,A
SampleID%.0007_singlets.fcs,A06,A06_1,medium,sample1,sample,/,A
SampleID%.0008_singlets.fcs,A07,A07_1,medium,sample1,sample,/,A
SampleID%.0009_singlets.fcs,A08,A08_1,medium,sample1,sample,/,A
SampleID%.0010_singlets.fcs,A09,A09_1,medium,sample1,sample,/,A
SampleID%.0011_singlets.fcs,A10,A10_1,medium,sample1,sample,/,A
SampleID%.0012_singlets.fcs,A11,A11_1,medium,sample1,sample,/,A
SampleID%.0013_singlets.fcs,A12,A12_1,medium,sample1,sample,/,A
SampleID%.0014_singlets.fcs,A01,A01_2,medium,sample1,sample,/,A
SampleID%.0015_singlets.fcs,A02,A02_2,medium,sample1,sample,/,A
SampleID%.0016_singlets.fcs,A03,A03_2,medium,sample1,sample,/,A
SampleID%.0017_singlets.fcs,A04,A04_2,medium,sample1,sample,/,A
SampleID%.0018_singlets.fcs,A05,A05_2,medium,sample1,sample,/,A
SampleID%.0019_singlets.fcs,A06,A06_2,medium,sample1,sample,/,A
SampleID%.0020_singlets.fcs,A07,A07_2,medium,sample1,sample,/,A
SampleID%.0021_singlets.fcs,A08,A08_2,medium,sample1,sample,/,A
SampleID%.0022_singlets.fcs,A09,A09_2,medium,sample1,sample,/,A
SampleID%.0023_singlets.fcs,A10,A10_2,medium,sample1,sample,/,A
SampleID%.0024_singlets.fcs,A11,A11_2,medium,sample1,sample,/,A
SampleID%.0025_singlets.fcs,A12,A12_2,medium,sample1,sample,/,A
SampleID%.0026_singlets.fcs,A01,A01_3,medium,sample1,sample,/,A
SampleID%.0027_singlets.fcs,A02,A02_3,medium,sample1,sample,/,A
SampleID%.0028_singlets.fcs,A03,A03_3,medium,sample1,sample,/,A
SampleID%.0029_singlets.fcs,A04,A04_3,medium,sample1,sample,/,A
SampleID%.0030_singlets.fcs,A05,A05_3,medium,sample1,sample,/,A
SampleID%.0031_singlets.fcs,A06,A06_3,medium,sample1,sample,/,A
SampleID%.0032_singlets.fcs,A07,A07_3,medium,sample1,sample,/,A
SampleID%.0033_singlets.fcs,A08,A08_3,medium,sample1,sample,/,A
SampleID%.0034_singlets.fcs,A09,A09_3,medium,sample1,sample,/,A
SampleID%.0035_singlets.fcs,A10,A10_3,medium,sample1,sample,/,A
SampleID%.0036_singlets.fcs,A11,A11_3,medium,sample1,sample,/,A
SampleID%.0037_singlets.fcs,A12,A12_3,medium,sample1,sample,/,A
