Sample1,Sample2,Amount_uM,Type
A01,A01_1,15.5076,HPLC
A02,A02_1,18.8682,HPLC
A03,A03_1,13.7645,HPLC
A04,A04_1,27.8925,HPLC
A05,A05_1,9.5646,HPLC
A06,A06_1,23.9817,HPLC
A07,A07_1,14.6226,HPLC
A08,A08_1,14.1116,HPLC
A09,A09_1,27.6704,HPLC
A10,A10_1,22.6702,HPLC
A11,A11_1,27.9913,HPLC
A12,A12_1,16.2787,HPLC
A01,A01_2,12.6291,HPLC
A02,A02_2,20.9674,HPLC
A03,A03_2,13.6799,HPLC
A04,A04_2,33.445,HPLC
A05,A05_2,8.6999,HPLC
A06,A06_2,19.9792,HPLC
A07,A07_2,12.0321,HPLC
A08,A08_2,17.8734,HPLC
A09,A09_2,18.5973,HPLC
A10,A10_2,19.3737,HPLC
A11,A11_2,26.1337,HPLC
A12,A12_2,15.3155,HPLC
A01,A01_3,14.2063,HPLC
A02,A02_3,15.9,HPLC
A03,A03_3,11.1781,HPLC
A04,A04_4,21.4694,HPLC
A05,A05_3,7.7734,HPLC
A06,A06_3,22.5438,HPLC
A07,A07_3,12.3558,HPLC
A08,A08_3,19.3117,HPLC
A09,A09_3,25.8542,HPLC
A10,A10_3,17.369,HPLC
A11,A11_3,21.9076,HPLC
A12,A12_3,12.0687,HPLC
B01,B01_1,22.905,HPLC
B02,B02_1,8.5957,HPLC
B03,B03_1,42.8681,HPLC
B04,B04_1,25.2202,HPLC
B05,B05_1,36.0892,HPLC
B06,B06_1,12.6344,HPLC
B07,B07_1,17.2372,HPLC
B08,B08_1,16.4185,HPLC
B09,B09_1,19.8358,HPLC
B10,B10_1,20.1661,HPLC
B11,B11_1,25.1067,HPLC
B12,B12_1,17.7775,HPLC
B01,B01_1,25.5696,HPLC
B02,B02_2,12.0151,HPLC
B03,B03_2,53.4281,HPLC
B04,B04_2,37.3042,HPLC
B05,B05_2,35.4379,HPLC
B06,B06_2,22.3046,HPLC
B07,B07_2,22.6367,HPLC
B08,B08_2,15.8746,HPLC
B09,B09_2,21.4964,HPLC
B10,B10_2,20.4163,HPLC
B11,B11_2,30.8308,HPLC
B12,B12_2,23.9022,HPLC
B01,B01_3,21.5849,HPLC
B02,B02_3,11.6775,HPLC
B03,B03_3,45.3378,HPLC
B04,B04_3,30.8792,HPLC
B05,B05_3,38.3556,HPLC
B06,B06_3,15.1411,HPLC
B07,B07_3,15.2595,HPLC
B08,B08_3,16.5262,HPLC
B09,B09_3,31.623,HPLC
B10,B10_3,21.3181,HPLC
B11,B11_3,24.0257,HPLC
B12,B12_3,16.2889,HPLC
BY4741,BY4741_1,#VALUE!,HPLC
SBY1,SBY1_1,#VALUE!,HPLC
yBL216,yBL216_1,5.6491,HPLC
BY4741,BY4741_2,#VALUE!,HPLC
SBY1,SBY1_2,#VALUE!,HPLC
yBL216,yBL216_2,6.5286,HPLC
BY4741,BY4741_3,#VALUE!,HPLC
SBY1,SBY1_3,#VALUE!,HPLC
yBL216,yBL216_3,11.699,HPLC
spike_35,spike35,30.5171,HPLC
spike_65,spike65,57.7306,HPLC
