"compound","concentration","meanofthree","dev"
"L-Trypothan",0,6.9323734442393,0.270426192155432
"L-Trypothan",0.01,7.24582767486572,0.0927760637728808
"L-Trypothan",0.1,6.97424483299255,0.185829833517756
"L-Trypothan",1,7.05030528704325,0.197326713649293
"L-Trypothan",10,7.21521663665771,0.0583536568419276
"L-Trypothan",100,7.10837944348653,0.125041446801292
"L-Trypothan",1000,7.27851144472758,0.301167454664143
"5-HTP",0,7.41122269630432,0.472251726817861
"5-HTP",0.01,7.24394345283508,0.245411440623341
"5-HTP",0.1,7.04031459490458,0.0175430781952212
"5-HTP",1,7.12602472305298,0.247282454080044
"5-HTP",10,7.10839597384135,0.177692536803936
"5-HTP",100,7.04500412940979,0.205660978257898
"5-HTP",1000,7.33753824234009,0.176324207548096
"Serotonin",0,7.38700755437215,0.321142726282462
"Serotonin",0.01,7.59521905581156,0.143970102641833
"Serotonin",0.1,8.60754664738973,0.231681818678851
"Serotonin",1,44.7728862762451,6.00799633368839
"Serotonin",10,235.848932902018,7.98533171790206
"Serotonin",100,384.446685791016,4.66646963429536
"Serotonin",1000,380.199712117513,15.5212536571708
"Tryptamine",0,7.27658335367839,0.179293951364662
"Tryptamine",1000,310.648569742839,16.3867782911762
