"","strain","strain_2","ligand","pH","meds","dev"
"1","167","167-2-0-1","0","2",3.74425780773163,6.24965882344345
"2","167","167-2-0-2","0","2",3.99779009819031,7.79198620410447
"3","167","167-2-0-3","0","2",3.04132032394409,7.57464725232332
"4","167","167-2-0.01-1","0.01","2",4.06476140022278,6.23945248272439
"5","167","167-2-0.01-2","0.01","2",3.9293806552887,7.75764927761719
"6","167","167-2-0.01-3","0.01","2",3.15590143203735,6.91231786367048
"7","167","167-2-0.1-1","0.1","2",3.86901295185089,6.68206038371125
"8","167","167-2-0.1-2","0.1","2",4.17350959777832,7.97362077145056
"9","167","167-2-0.1-3","0.1","2",2.98984503746033,6.16295381080232
"10","167","167-2-1-1","1","2",3.88193452358246,6.68390767589403
"11","167","167-2-1-2","1","2",4.24346685409546,7.5212046474706
"12","167","167-2-1-3","1","2",3.10769355297089,6.72018456569019
"13","167","167-2-10-1","10","2",3.4626522064209,6.72370805247121
"14","167","167-2-10-2","10","2",4.2657995223999,7.89336096648228
"15","167","167-2-10-3","10","2",3.13706684112549,6.68206465451621
"16","167","167-2-100-1","100","2",3.14240372180939,6.01138797413445
"17","167","167-2-100-2","100","2",4.68547201156616,7.95024090861627
"18","167","167-2-100-3","100","2",3.45819020271301,7.01677364397727
"19","167","167-2-1000-1","1000","2",2.8844997882843,4.33273959019425
"20","167","167-2-1000-2","1000","2",3.72359871864319,30.7140522629151
"21","167","167-2-1000-3","1000","2",3.76579737663269,6.19000506561392
"22","167","167-3-0-1","0","3",5.93688583374023,7.80127697508356
"23","167","167-3-0-2","0","3",5.62465667724609,5.18200707133427
"24","167","167-3-0-3","0","3",5.39069533348083,5.20733892685738
"25","167","167-3-0.01-1","0.01","3",5.5660183429718,5.80563370577482
"26","167","167-3-0.01-2","0.01","3",5.84948182106018,5.12985617226979
"27","167","167-3-0.01-3","0.01","3",5.62786817550659,5.84863761156538
"28","167","167-3-0.1-1","0.1","3",5.61087560653687,5.43898241916436
"29","167","167-3-0.1-2","0.1","3",5.60981941223145,5.07660883654573
"30","167","167-3-0.1-3","0.1","3",5.68243312835693,5.11694651776872
"31","167","167-3-1-1","1","3",5.74147081375122,5.18367790477672
"32","167","167-3-1-2","1","3",5.95423722267151,6.67580240249258
"33","167","167-3-1-3","1","3",5.95283174514771,5.49972405917427
"34","167","167-3-10-1","10","3",13.2773261070251,13.9796635890773
"35","167","167-3-10-2","10","3",12.3376064300537,14.5784565138618
"36","167","167-3-10-3","10","3",13.470826625824,14.3646716583631
"37","167","167-3-100-1","100","3",93.7448501586914,66.6661161763623
"38","167","167-3-100-2","100","3",90.9917221069336,63.0998103973402
"39","167","167-3-100-3","100","3",94.3969459533691,68.5115711349157
"40","167","167-3-1000-1","1000","3",119.006820678711,79.7917631088805
"41","167","167-3-1000-2","1000","3",110.953102111816,68.3287617473741
"42","167","167-3-1000-3","1000","3",111.871074676514,75.5965868178041
"43","167","167-4-0-1","0","4",7.8905234336853,18.3430614511149
"44","167","167-4-0-2","0","4",7.63787508010864,16.7117716558148
"45","167","167-4-0-3","0","4",7.50637269020081,17.7254881988112
"46","167","167-4-0.01-1","0.01","4",7.64280605316162,19.2520636367086
"47","167","167-4-0.01-2","0.01","4",7.26023149490356,18.3977095462728
"48","167","167-4-0.01-3","0.01","4",7.43846893310547,18.308487264532
"49","167","167-4-0.1-1","0.1","4",8.13381671905518,19.6790328717578
"50","167","167-4-0.1-2","0.1","4",7.78404760360718,18.0290647107204
"51","167","167-4-0.1-3","0.1","4",8.25529623031616,18.6202272330139
"52","167","167-4-1-1","1","4",15.4727048873901,39.85532714436
"53","167","167-4-1-2","1","4",14.6746282577515,40.401655808569
"54","167","167-4-1-3","1","4",15.4737491607666,39.8599797144044
"55","167","167-4-10-1","10","4",189.692070007324,172.907928197448
"56","167","167-4-10-2","10","4",177.791748046875,170.757018719241
"57","167","167-4-10-3","10","4",189.632919311523,169.540421613516
"58","167","167-4-100-1","100","4",387.557022094727,245.79312964924
"59","167","167-4-100-2","100","4",366.256011962891,237.901074326239
"60","167","167-4-100-3","100","4",396.017211914062,247.995084403425
"61","167","167-4-1000-1","1000","4",355.411224365234,217.742201881512
"62","167","167-4-1000-2","1000","4",384.071884155273,236.220939563507
"63","167","167-4-1000-3","1000","4",380.961929321289,230.524939439239
"64","167","167-5-0-1","0","5",6.60058808326721,13.4907667496622
"65","167","167-5-0-2","0","5",7.39224982261658,21.7131791109846
"66","167","167-5-0-3","0","5",6.77116250991821,16.4961464229308
"67","167","167-5-0.01-1","0.01","5",6.77383685112,17.0040419541568
"68","167","167-5-0.01-2","0.01","5",7.00045871734619,13.7160076667219
"69","167","167-5-0.01-3","0.01","5",6.83026957511902,12.793513051403
"70","167","167-5-0.1-1","0.1","5",9.68036556243896,23.6469046156682
"71","167","167-5-0.1-2","0.1","5",13.9004244804382,30.6797317631191
"72","167","167-5-0.1-3","0.1","5",10.2168054580688,24.9360235184115
"73","167","167-5-1-1","1","5",63.9433193206787,110.104580349022
"74","167","167-5-1-2","1","5",70.6266212463379,97.4226700129112
"75","167","167-5-1-3","1","5",77.7777633666992,115.683368507249
"76","167","167-5-10-1","10","5",322.101623535156,247.368147605324
"77","167","167-5-10-2","10","5",288.017974853516,225.197748094605
"78","167","167-5-10-3","10","5",325.659698486328,227.038506764409
"79","167","167-5-100-1","100","5",424.276443481445,260.66495147793
"80","167","167-5-100-2","100","5",421.701110839844,269.323282642613
"81","167","167-5-100-3","100","5",406.389984130859,255.407098361415
"82","167","167-5-1000-1","1000","5",375.308746337891,216.104537337381
"83","167","167-5-1000-2","1000","5",405.418991088867,236.780725045185
"84","167","167-5-1000-3","1000","5",407.182006835938,237.883952913892
"85","167","167-6-0-1","0","6",7.65580916404724,20.5511557761305
"86","167","167-6-0-2","0","6",12.6725478172302,35.1963055380774
"87","167","167-6-0-3","0","6",9.16218233108521,24.3054225433717
"88","167","167-6-0.01-1","0.01","6",41.1542797088623,71.4567531067954
"89","167","167-6-0.01-2","0.01","6",48.1552886962891,84.2241609264051
"90","167","167-6-0.01-3","0.01","6",17.9617862701416,40.2865290435086
"91","167","167-6-0.1-1","0.1","6",236.808837890625,202.457683699186
"92","167","167-6-0.1-2","0.1","6",141.401847839355,155.923221501372
"93","167","167-6-0.1-3","0.1","6",113.596366882324,139.237254506261
"94","167","167-6-1-1","1","6",262.813980102539,211.523856891669
"95","167","167-6-1-2","1","6",270.590240478516,213.036403755646
"96","167","167-6-1-3","1","6",255.92635345459,208.828199682608
"97","167","167-6-10-1","10","6",402.315078735352,255.38584997886
"98","167","167-6-10-2","10","6",420.675857543945,272.714615192969
"99","167","167-6-10-3","10","6",484.110549926758,292.960341242743
"100","167","167-6-100-1","100","6",468.000457763672,280.994358505983
"101","167","167-6-100-2","100","6",447.661224365234,270.21300986153
"102","167","167-6-100-3","100","6",453.229202270508,279.684050580995
"103","167","167-6-1000-1","1000","6",436.694442749023,268.462324115411
"104","167","167-6-1000-2","1000","6",453.061935424805,277.052644890389
"105","167","167-6-1000-3","1000","6",461.627838134766,281.852018192665
"106","167","167-7-0-1","0","7",249.519264221191,230.081553385718
"107","167","167-7-0-2","0","7",355.124847412109,265.844696665895
"108","167","167-7-0-3","0","7",244.229446411133,224.171234640915
"109","167","167-7-0.01-1","0.01","7",399.180419921875,300.910887010074
"110","167","167-7-0.01-2","0.01","7",375.823013305664,290.940759096613
"111","167","167-7-0.01-3","0.01","7",368.639587402344,292.538524732549
"112","167","167-7-0.1-1","0.1","7",570.000793457031,360.027107755258
"113","167","167-7-0.1-2","0.1","7",562.240356445312,354.90951839539
"114","167","167-7-0.1-3","0.1","7",559.635467529297,361.118759265422
"115","167","167-7-1-1","1","7",569.612335205078,331.618697690295
"116","167","167-7-1-2","1","7",558.320068359375,326.185320353598
"117","167","167-7-1-3","1","7",586.111877441406,324.53232302872
"118","167","167-7-10-1","10","7",553.537384033203,303.635084122112
"119","167","167-7-10-2","10","7",542.534149169922,299.902878017294
"120","167","167-7-10-3","10","7",528.646209716797,290.883177006829
"121","167","167-7-100-1","100","7",533.799560546875,296.081618781423
"122","167","167-7-100-2","100","7",532.647521972656,295.974863231625
"123","167","167-7-100-3","100","7",519.55224609375,286.251202686648
"124","167","167-7-1000-1","1000","7",521.915313720703,281.376791235406
"125","167","167-7-1000-2","1000","7",518.9326171875,288.789442004832
"126","167","167-7-1000-3","1000","7",523.986785888672,295.133863380526
"127","167","167-media-0-1","0","media",6.72378468513489,13.1528423341343
"128","167","167-media-0-2","0","media",7.40143394470215,22.1845194628615
"129","167","167-media-0-3","0","media",6.54944133758545,25.7023460474424
"130","167","167-media-0.01-1","0.01","media",6.07979488372803,11.9304336309502
"131","167","167-media-0.01-2","0.01","media",6.21850943565369,12.7019187568018
"132","167","167-media-0.01-3","0.01","media",11.2204241752625,25.5486531610863
"133","167","167-media-0.1-1","0.1","media",7.21060657501221,15.4508849628334
"134","167","167-media-0.1-2","0.1","media",14.9344162940979,36.5228281861261
"135","167","167-media-0.1-3","0.1","media",50.3233432769775,85.3149412030511
"136","167","167-media-1-1","1","media",44.4454193115234,87.4670945013497
"137","167","167-media-1-2","1","media",64.7866592407227,100.935536864637
"138","167","167-media-1-3","1","media",105.124664306641,128.574688654485
"139","167","167-media-10-1","10","media",276.500549316406,213.086742646151
"140","167","167-media-10-2","10","media",273.101547241211,211.760063484846
"141","167","167-media-10-3","10","media",305.773406982422,216.492607937181
"142","167","167-media-100-1","100","media",413.133193969727,241.4879876347
"143","167","167-media-100-2","100","media",392.642395019531,231.634791297882
"144","167","167-media-100-3","100","media",418.774963378906,246.074190462974
"145","167","167-media-1000-1","1000","media",396.232574462891,224.916363191095
"146","167","167-media-1000-2","1000","media",385.340927124023,224.285549024663
"147","167","167-media-1000-3","1000","media",387.059982299805,224.336617889094
"148","234","234-2-0-1","0","2",19.3024702072144,12.6229636136762
"149","234","234-2-0-2","0","2",18.8543243408203,9.87734948796482
"150","234","234-2-0-3","0","2",19.2079401016235,10.6135590575909
"151","234","234-2-0.01-1","0.01","2",21.5035982131958,13.558130311906
"152","234","234-2-0.01-2","0.01","2",25.189263343811,15.1072642443864
"153","234","234-2-0.01-3","0.01","2",22.0101852416992,12.8475027602275
"154","234","234-2-0.1-1","0.1","2",30.6139869689941,20.5707440275529
"155","234","234-2-0.1-2","0.1","2",31.1661500930786,20.2239494302691
"156","234","234-2-0.1-3","0.1","2",30.2498464584351,19.1392061320715
"157","234","234-2-1-1","1","2",32.1391716003418,21.8134124456875
"158","234","234-2-1-2","1","2",30.0933361053467,20.0849934769055
"159","234","234-2-1-3","1","2",32.3260364532471,20.6331442410548
"160","234","234-2-10-1","10","2",30.0694103240967,20.2703752464502
"161","234","234-2-10-2","10","2",30.912091255188,20.3293567845897
"162","234","234-2-10-3","10","2",30.9170913696289,21.3059923923447
"163","234","234-2-100-1","100","2",31.7128295898438,22.1354960556249
"164","234","234-2-100-2","100","2",31.483193397522,22.3031648975996
"165","234","234-2-100-3","100","2",32.0401496887207,21.9202023091308
"166","234","234-2-1000-1","1000","2",30.357852935791,19.4835231953558
"167","234","234-2-1000-2","1000","2",30.2558135986328,19.9369389949438
"168","234","234-2-1000-3","1000","2",30.6927061080933,20.0510342946459
"169","234","234-3-0-1","0","3",35.3999938964844,24.8876846790136
"170","234","234-3-0-2","0","3",32.0445384979248,22.2587952880086
"171","234","234-3-0-3","0","3",32.8867073059082,22.3091722337429
"172","234","234-3-0.01-1","0.01","3",49.2711849212646,32.9967770476358
"173","234","234-3-0.01-2","0.01","3",38.5549030303955,26.6585896645255
"174","234","234-3-0.01-3","0.01","3",39.417896270752,27.1182068904224
"175","234","234-3-0.1-1","0.1","3",43.9616641998291,29.9687363535473
"176","234","234-3-0.1-2","0.1","3",48.4796524047852,34.3530932024088
"177","234","234-3-0.1-3","0.1","3",55.4936580657959,36.9514129751511
"178","234","234-3-1-1","1","3",54.7355079650879,36.7363609130128
"179","234","234-3-1-2","1","3",60.2465648651123,40.5042195629947
"180","234","234-3-1-3","1","3",55.3638820648193,37.0025444524798
"181","234","234-3-10-1","10","3",49.5567741394043,32.8133126694693
"182","234","234-3-10-2","10","3",50.9847946166992,34.9274674165841
"183","234","234-3-10-3","10","3",51.9211902618408,33.283698301703
"184","234","234-3-100-1","100","3",48.0505542755127,32.0432152445627
"185","234","234-3-100-2","100","3",49.5987434387207,34.3294538043452
"186","234","234-3-100-3","100","3",51.0580654144287,34.8681931372631
"187","234","234-3-1000-1","1000","3",55.1938018798828,36.6321753971287
"188","234","234-3-1000-2","1000","3",51.2718296051025,33.6558447972785
"189","234","234-3-1000-3","1000","3",54.0009136199951,36.3676047785459
"190","234","234-4-0-1","0","4",75.4841575622559,42.7251687766239
"191","234","234-4-0-2","0","4",79.1194877624512,43.0649540393022
"192","234","234-4-0-3","0","4",88.2448844909668,49.9839851707575
"193","234","234-4-0.01-1","0.01","4",79.6786842346191,41.2047336958607
"194","234","234-4-0.01-2","0.01","4",90.7650108337402,51.8660623319491
"195","234","234-4-0.01-3","0.01","4",89.5104789733887,50.9725918166255
"196","234","234-4-0.1-1","0.1","4",100.06058883667,56.411430393956
"197","234","234-4-0.1-2","0.1","4",93.1007881164551,54.001340105987
"198","234","234-4-0.1-3","0.1","4",97.5832061767578,56.1544784036527
"199","234","234-4-1-1","1","4",96.2889404296875,55.7073477793025
"200","234","234-4-1-2","1","4",97.7475471496582,56.5206593527004
"201","234","234-4-1-3","1","4",100.81995010376,59.7381062701827
"202","234","234-4-10-1","10","4",96.8787689208984,56.4013497717315
"203","234","234-4-10-2","10","4",103.659324645996,60.3533471408445
"204","234","234-4-10-3","10","4",95.6679153442383,56.2962375686861
"205","234","234-4-100-1","100","4",99.7064781188965,55.3332134552965
"206","234","234-4-100-2","100","4",99.2682952880859,56.1279875572491
"207","234","234-4-100-3","100","4",97.3877372741699,53.5894781575728
"208","234","234-4-1000-1","1000","4",98.2119560241699,55.3072491090831
"209","234","234-4-1000-2","1000","4",97.7558784484863,54.2507181933645
"210","234","234-4-1000-3","1000","4",98.1424102783203,56.464972968204
"211","234","234-5-0-1","0","5",107.505325317383,63.8441276589859
"212","234","234-5-0-2","0","5",115.79275894165,69.9999113802954
"213","234","234-5-0-3","0","5",129.65225982666,77.5155286364334
"214","234","234-5-0.01-1","0.01","5",106.556564331055,61.8018770674023
"215","234","234-5-0.01-2","0.01","5",108.862289428711,61.5950962732817
"216","234","234-5-0.01-3","0.01","5",121.179088592529,74.1767995912131
"217","234","234-5-0.1-1","0.1","5",106.042026519775,59.4416901816681
"218","234","234-5-0.1-2","0.1","5",102.332218170166,59.658241290531
"219","234","234-5-0.1-3","0.1","5",103.134380340576,59.6648139597051
"220","234","234-5-1-1","1","5",107.333023071289,59.6574158918179
"221","234","234-5-1-2","1","5",108.2451171875,61.0710239405712
"222","234","234-5-1-3","1","5",108.683685302734,62.3022556470923
"223","234","234-5-10-1","10","5",104.217967987061,59.0663903809523
